[SRM] Código da operação,variavel_target,Total do Contrato (Bruto),Nota da Clínica,Capacidade Idade,Capital Endividamento,Serasa Score,Carater Acoes_Judiciais_Cheques_Sustados_e_PIE,Carater Percentual_de_divida_vencida_total,Carater Quantidade_de_restricoes_comerciais,Serasa Quantidade de protestos,VTM Valor total,Taxa de Juros,Total do Contrato (Bruto)/renda utilizada
1130711.0,0,2121.0,2.0,58,40,603.0,0.0,0,0.0,0.0,2037.0,4.0,1.0615615615615615
1129364.0,0,1953.0,0.0,39,95,593.0,0.0,11,0.0,0.0,4203.0,3.0,0.9260312944523471
1128856.0,0,3536.0,2.0,23,22,794.0,0.0,0,0.0,0.0,2245.0,4.0,1.9492833517089305
1128746.0,1,1758.0,2.0,37,0,575.0,0.0,0,0.0,0.0,1137.0,4.0,1.4304312449145646
1128276.0,0,1957.0,2.0,21,14,553.0,0.0,0,0.0,0.0,1220.0,4.0,1.5053846153846153
1128382.0,1,3931.0,2.0,60,3,575.0,0.0,0,0.0,0.0,2439.0,4.0,2.0138319672131146
1130712.0,1,4036.0,2.0,63,36,912.0,0.0,0,0.0,0.0,10000.0,4.0,0.7035035732961478
1128898.0,0,6551.0,1.0,47,58,796.0,0.0,0,0.0,0.0,4993.0,4.0,2.3148409893992934
1130713.0,1,2881.0,2.0,28,35,797.0,0.0,0,0.0,0.0,1759.0,4.0,1.6360022714366838
1128698.0,0,8189.0,2.0,56,37,561.0,0.0,0,0.0,0.0,8652.0,4.0,1.9250117536436295
1128904.0,0,3630.0,2.0,41,17,705.0,0.0,41,0.0,0.0,2179.0,3.0,2.233846153846154
1152611.0,1,7803.0,1.0,20,87,534.0,0.0,0,0.0,0.0,4686.0,3.0,3.3417558886509635
1130754.0,0,4608.0,2.0,62,54,990.0,0.0,0,0.0,0.0,5907.0,4.0,1.3887884267631103
1129974.0,0,5724.0,1.0,48,0,488.0,0.0,0,0.0,0.0,3515.0,4.0,2.807258460029426
1129214.0,0,6282.0,2.0,58,4,752.0,0.0,11,0.0,0.0,3922.0,4.0,2.783340717766947
1128979.0,0,4311.0,0.0,56,8,751.0,0.0,0,0.0,0.0,2628.0,3.0,2.694375
1128962.0,1,1975.0,2.0,18,11,487.0,0.0,0,0.0,0.0,1279.0,4.0,1.462962962962963
1130125.0,1,4571.0,2.0,62,152,530.0,0.0,1,1.0,0.0,2993.0,4.0,1.9475926714955263
1129108.0,0,7503.0,0.0,48,72,550.0,0.0,0,0.0,0.0,9315.0,3.0,1.9038315148439482
1129794.0,0,4252.0,1.0,47,19,541.0,0.0,0,0.0,0.0,4736.0,4.0,1.5794947994056463
1151374.0,1,8609.0,2.0,66,35,757.0,0.0,0,0.0,0.0,5227.0,4.0,2.914353419092756
1154682.0,1,2325.0,2.0,25,10,506.0,0.0,0,0.0,0.0,1454.0,4.0,1.55
1129382.0,0,7708.0,2.0,64,32,650.0,0.0,0,0.0,0.0,5040.0,4.0,2.700770847932726
1135277.0,1,6215.0,2.0,54,0,735.0,0.0,0,0.0,0.0,4059.0,4.0,2.667381974248927
1130120.0,0,3260.0,2.0,58,4,752.0,0.0,11,0.0,0.0,3922.0,4.0,1.4443952148870183
1146952.0,0,2121.0,2.0,63,15,978.0,0.0,0,0.0,0.0,1875.0,4.0,1.3683870967741936
1130104.0,0,4671.0,2.0,64,0,527.0,0.0,0,0.0,0.0,6422.0,4.0,1.4624295554164057
1130165.0,0,4051.0,0.0,67,66,1000.0,0.0,0,0.0,0.0,12000.0,3.0,0.777393974285166
1130149.0,0,2388.0,2.0,53,76,733.0,0.0,0,0.0,0.0,6221.0,4.0,0.685025817555938
1130212.0,0,2465.0,2.0,39,55,728.0,0.0,0,0.0,0.0,1512.0,4.0,1.5903225806451613
1130709.0,1,2147.0,2.0,64,32,550.0,0.0,0,1.0,0.0,1746.0,4.0,1.2268571428571429
1139495.0,0,1403.0,2.0,40,31,889.0,0.0,0,0.0,0.0,1321.0,4.0,1.0122655122655122
1130582.0,1,3638.0,0.0,65,0,759.0,0.0,0,0.0,0.0,2268.0,3.0,2.593014967925873
1150298.0,1,2297.0,2.0,38,37,799.0,0.0,0,0.0,0.0,1709.0,4.0,1.3370197904540162
1130562.0,0,12759.0,0.0,60,111,936.0,0.0,0,0.0,0.0,11140.0,3.0,3.0611804222648753
1158948.0,0,6099.0,2.0,58,38,817.0,0.0,0,0.0,0.0,12000.0,3.0,0.9860953920776071
1138925.0,0,4883.0,2.0,58,94,863.0,0.0,3,0.0,0.0,4417.0,4.0,1.6943095072866066
1132115.0,1,1815.0,2.0,25,5,490.0,0.0,0,0.0,0.0,1805.0,4.0,1.21
1132472.0,1,7544.0,2.0,48,63,803.0,0.0,0,0.0,0.0,6982.0,4.0,1.9378371435910609
1134108.0,0,2549.0,2.0,27,15,601.0,0.0,0,0.0,0.0,1571.0,4.0,1.593125
1134100.0,1,16224.0,2.0,29,91,544.0,0.0,7,0.0,0.0,10000.0,4.0,1.8971000935453695
1134103.0,0,2833.0,2.0,40,75,497.0,0.0,0,0.0,0.0,1746.0,4.0,1.6188571428571428
1132974.0,1,1327.0,1.0,65,0,657.0,0.0,0,0.0,0.0,1780.0,4.0,0.8954116059379217
1145154.0,0,1740.0,2.0,39,0,546.0,0.0,0,0.0,0.0,1159.0,4.0,1.3953488372093024
1137052.0,1,6068.0,2.0,69,0,726.0,0.0,0,0.0,0.0,10000.0,4.0,0.8609534619750284
1282257.0,1,1023.0,2.0,39,19,685.0,0.0,0,0.0,0.0,1629.0,4.0,0.62
1136853.0,1,2652.0,2.0,22,3,645.0,0.0,0,0.0,0.0,1734.0,4.0,1.8289655172413792
1137842.0,0,2788.0,2.0,50,30,728.0,0.0,0,0.0,0.0,8976.0,4.0,0.632486388384755
1147017.0,0,4783.0,2.0,45,73,721.0,0.0,0,0.0,0.0,5969.0,4.0,1.4273351238436287
1137730.0,0,1395.0,2.0,35,46,877.0,0.0,0,0.0,0.0,3768.0,4.0,0.641674333026679
1160718.0,1,2168.0,2.0,69,30,586.0,0.0,0,0.0,0.0,1395.0,4.0,1.4951724137931035
1142486.0,0,3202.0,0.0,36,74,556.0,0.0,0,0.0,0.0,5234.0,3.0,1.2353395061728396
1192442.0,0,3578.0,0.0,54,45,501.0,0.0,4,1.0,1.0,10000.0,4.0,0.4236826524570752
1138991.0,0,9918.0,0.0,62,43,764.0,0.0,0,0.0,0.0,5767.0,3.0,3.489795918367347
1142567.0,0,9109.0,0.0,46,8,535.0,0.0,0,0.0,0.0,8182.0,3.0,2.94789644012945
1143085.0,0,4910.0,0.0,37,80,823.0,0.0,0,0.0,0.0,8600.0,3.0,1.3459429824561404
1147844.0,1,1315.0,2.0,52,26,542.0,0.0,1,0.0,0.0,6914.0,4.0,0.3836056009334889
1147508.0,0,15391.0,2.0,26,139,827.0,0.0,0,0.0,0.0,10000.0,4.0,2.315132370637786
1142416.0,1,5788.0,2.0,51,79,961.0,0.0,0,0.0,0.0,10000.0,4.0,0.9399155569990256
1147016.0,0,3240.0,2.0,55,0,504.0,0.0,0,0.0,0.0,8280.0,3.0,1.036468330134357
1151367.0,0,2020.0,0.0,37,50,568.0,0.0,0,0.0,0.0,9472.0,3.0,0.5043695380774033
1193389.0,0,14465.0,1.0,66,0,497.0,0.0,0,0.0,0.0,8599.0,3.0,4.461752004935225
1149358.0,0,5799.0,1.0,44,52,914.0,0.0,0,0.0,0.0,4009.0,4.0,2.2032674772036476
1147072.0,0,13954.0,1.0,66,43,676.0,0.0,0,0.0,0.0,8221.0,3.0,4.49548969072165
1267224.0,0,4383.0,1.0,41,70,594.0,0.0,0,0.0,0.0,2729.0,4.0,1.5213467545990975
1147034.0,0,2173.0,0.0,57,0,502.0,0.0,0,0.0,0.0,7403.0,3.0,0.6883116883116883
1147067.0,1,13433.0,2.0,51,77,752.0,0.0,0,0.0,0.0,10000.0,4.0,2.243319973279893
1150505.0,0,7997.0,2.0,30,80,818.0,0.0,0,0.0,0.0,6728.0,4.0,2.1285600212935853
1179948.0,0,11712.0,1.0,60,52,996.0,0.0,0,0.0,0.0,9980.0,3.0,3.127369826435247
1151414.0,0,6103.0,2.0,57,101,773.0,0.0,0,0.0,0.0,3784.0,4.0,2.4460921843687373
1169129.0,0,2301.0,1.0,51,51,993.0,0.0,0,0.0,0.0,10000.0,4.0,0.23144236572118287
1158925.0,0,14950.0,0.0,52,159,914.0,0.0,0,0.0,0.0,10665.0,3.0,3.742177722152691
1180471.0,0,2473.0,1.0,51,69,669.0,0.0,0,0.0,0.0,8535.0,4.0,0.5236078763497777
1154561.0,0,1209.0,2.0,48,155,784.0,0.0,0,0.0,0.0,5431.0,4.0,0.39471106758080315
1155245.0,0,14143.0,1.0,53,49,450.0,0.0,0,2.0,2.0,8322.0,3.0,3.0014855687606112
1166698.0,0,7399.0,2.0,49,0,546.0,0.0,0,0.0,0.0,10000.0,4.0,1.1193645990922845
1154614.0,0,16390.0,1.0,38,72,624.0,0.0,0,0.0,0.0,10000.0,4.0,2.8017094017094015
1155258.0,0,7782.0,2.0,38,149,775.0,0.0,0,0.0,0.0,10000.0,4.0,0.6116962741707279
1163743.0,0,5926.0,2.0,67,0,709.0,0.0,100,0.0,0.0,3650.0,4.0,2.455864069622876
1156639.0,0,6323.0,0.0,65,28,992.0,0.0,0,0.0,0.0,11147.0,3.0,1.5159434188444019
1157457.0,0,6798.0,0.0,45,58,929.0,0.0,0,0.0,0.0,11217.0,3.0,1.6201143946615824
1157496.0,0,5200.0,0.0,55,0,575.0,0.0,0,0.0,0.0,7403.0,3.0,1.6471333544504276
1157524.0,0,3937.0,2.0,67,0,976.0,0.0,0,0.0,0.0,10000.0,3.0,0.6227459664663081
1165898.0,0,5764.0,1.0,39,104,660.0,0.0,0,0.0,0.0,6054.0,4.0,1.6972909305064783
1157545.0,0,4547.0,0.0,58,13,550.0,0.0,0,1.0,0.0,8624.0,3.0,1.2433688815969375
1159845.0,0,10553.0,2.0,47,61,584.0,0.0,0,0.0,0.0,6522.0,4.0,2.893611187277214
1166703.0,0,6841.0,0.0,55,60,525.0,0.0,0,0.0,0.0,7873.0,4.0,1.5658045319295033
1159984.0,0,8009.0,0.0,50,793,973.0,0.0,0,0.0,0.0,12000.0,3.0,0.5516600082656014
1174132.0,0,4011.0,0.0,60,56,550.0,0.0,0,1.0,1.0,2620.0,4.0,1.606327593111734
1176822.0,0,3368.0,0.0,55,0,572.0,0.0,0,0.0,0.0,8366.0,3.0,1.0668356034209692
1160035.0,0,7376.0,1.0,65,36,547.0,0.0,0,1.0,0.0,6172.0,4.0,2.131791907514451
1163669.0,1,2287.0,2.0,58,8,862.0,0.0,0,0.0,0.0,3085.0,4.0,1.105899419729207
1163798.0,0,3709.0,2.0,63,49,652.0,0.0,5,0.0,0.0,4333.0,4.0,1.3106007067137808
1161287.0,1,4668.0,1.0,55,0,666.0,0.0,0,0.0,0.0,3871.0,4.0,2.093273542600897
1163295.0,0,15727.0,2.0,38,69,877.0,0.0,9,0.0,0.0,9495.0,4.0,3.0036287242169597
1184138.0,0,3819.0,2.0,50,55,676.0,0.0,0,0.0,0.0,2375.0,6.0,1.5879417879417879
1165492.0,0,1550.0,2.0,66,22,959.0,0.0,0,0.0,0.0,3524.0,4.0,0.7583170254403131
1174123.0,1,3033.0,2.0,47,14,657.0,0.0,0,0.0,0.0,1969.0,4.0,1.56340206185567
1204103.0,0,967.0,0.0,55,133,752.0,0.0,20,0.0,0.0,2396.0,3.0,0.5472552348613469
1178367.0,0,2423.0,2.0,54,94,672.0,0.0,0,0.0,0.0,2994.0,4.0,1.2042743538767395
1168134.0,0,13822.0,1.0,54,38,991.0,0.0,0,0.0,0.0,10000.0,4.0,1.6330340264650283
1168282.0,0,7381.0,0.0,57,36,550.0,0.0,0,1.0,1.0,7535.0,3.0,2.298660853316724
1174168.0,0,3744.0,0.0,68,0,782.0,0.0,0,0.0,0.0,2436.0,4.0,1.92
1170974.0,0,4439.0,1.0,47,22,612.0,0.0,0,0.0,0.0,3771.0,4.0,1.7848813831926016
1168230.0,0,8252.0,0.0,60,82,874.0,0.0,0,0.0,0.0,11577.0,3.0,1.9070949849780447
1178366.0,1,3871.0,2.0,52,0,855.0,0.0,0,0.0,0.0,3101.0,4.0,1.6142618849040868
1174391.0,0,9955.0,2.0,51,23,714.0,0.0,0,0.0,0.0,6695.0,4.0,2.9948856799037302
1171569.0,0,19387.0,2.0,39,57,550.0,0.0,0,1.0,0.0,12000.0,3.0,2.6092866756393
1171851.0,0,7904.0,0.0,61,45,672.0,0.0,0,0.0,0.0,4868.0,3.0,3.266115702479339
1174418.0,0,5620.0,1.0,61,93,709.0,0.0,0,0.0,0.0,10000.0,4.0,1.0199637023593466
1241906.0,1,2456.0,2.0,63,33,497.0,0.0,2,1.0,0.0,8000.0,4.0,0.5008156606851549
1173172.0,0,5910.0,2.0,46,0,488.0,0.0,0,0.0,0.0,10000.0,4.0,0.4336341624477218
1178364.0,0,3910.0,1.0,45,50,692.0,0.0,0,0.0,0.0,4017.0,4.0,1.4827455441789912
1198307.0,1,5723.0,2.0,47,18,764.0,0.0,0,0.0,0.0,4271.0,4.0,2.342611543184609
